id,product_batch,phosphorus_content,nitrogen_content,total_nutrient,water_content,particle_size
1805-1,5.1 08:00 - 16:00,,,,,
1805-2,5.1 16:00 - 20:00,,,,,
1805-3,5.1 20:00 - 00:00,,,,,
1805-4,5.2 00:00 - 04:00,,,,,
1805-5,5.2 04:00 - 08:00,,,,,
1805-6,5.2 08:00 - 12:00,,,,,
1805-7,5.2 12:00 - 16:00,,,,,
1805-8,5.2 16:00 - 00:00,,,,,
1805-9,5.3 00:00 - 04:00,,,,,
1805-10,5.3 04:00 - 08:00,,,,,
1805-11,5.3 08:00 - 12:00,,,,,
1805-12,5.3 12:00 - 16:00,,,,,
1805-13,5.3 16:00 - 20:00,,,,,
1805-14,5.3 20:00 - 00:00,,,,,
1805-15,5.4 00:00 - 04:00,,,,,
1805-16,5.4 04:00 - 08:00,,,,,
1805-17,5.4 08:00 - 12:00,,,,,
1805-18,5.4 12:00 - 16:00,,,,,
1805-19,5.4 16:00 - 00:00,,,,,
1805-20,5.5 00:00 - 04:00,,,,,
1805-21,5.5 04:00 - 08:00,,,,,
1805-22,5.5 08:00 - 12:00,,,,,
1805-23,5.5 12:00 - 16:00,,,,,
1805-24,5.5 16:00 - 00:00,,,,,
1805-25,5.6 08:00 - 12:00,,,,,
1805-26,5.6 12:00 - 16:00,,,,,
1805-27,5.6 16:00 - 20:00,,,,,
1805-28,5.6 20:00 - 00:00,,,,,
1805-29,5.7 00:00 - 04:00,,,,,
1805-30,5.7 04:00 - 08:00,,,,,
1805-31,5.7 08:00 - 12:00,,,,,
1805-32,5.7 12:00 - 16:00,,,,,
1805-33,5.7 16:00 - 20:00,,,,,
1805-34,5.7 20:00 - 00:00,,,,,
1805-35,5.8 00:00 - 04:00,,,,,
1805-36,5.8 04:00 - 08:00,,,,,
1805-37,5.8 08:00 - 12:00,,,,,
1805-38,5.8 12:00 - 16:00,,,,,
1805-39,5.8 16:00 - 20:00,,,,,
1805-40,5.8 20:00 - 00:00,,,,,
1805-41,5.9 00:00 - 04:00,,,,,
1805-42,5.9 04:00 - 08:00,,,,,
1805-43,5.9 08:00 - 12:00,,,,,
1805-44,5.9 12:00 - 16:00,,,,,
1805-45,5.9 16:00 - 20:00,,,,,
1805-46,5.9 20:00 - 00:00,,,,,
1805-47,5.10 00:00 - 04:00,,,,,
1805-48,5.10 04:00 - 08:00,,,,,
1805-49,5.10 08:00 - 12:00,,,,,
1805-50,5.10 12:00 - 16:00,,,,,
1805-51,5.10 16:00 - 20:00,,,,,
1805-52,5.10 20:00 - 00:00,,,,,
1805-53,5.11 00:00 - 04:00,,,,,
1805-54,5.11 04:00 - 08:00,,,,,
1805-55,5.11 08:00 - 12:00,,,,,
1805-56,5.11 12:00 - 16:00,,,,,
1805-57,5.11 16:00 - 20:00,,,,,
1805-58,5.11 20:00 - 00:00,,,,,
1805-59,5.12 00:00 - 04:00,,,,,
1805-60,5.12 04:00 - 08:00,,,,,
1805-61,5.12 08:00 - 12:00,,,,,
1805-62,5.12 12:00 - 16:00,,,,,
1805-63,5.12 16:00 - 20:00,,,,,
1805-64,5.12 20:00 - 00:00,,,,,
1805-65,5.13 00:00 - 04:00,,,,,
1805-66,5.13 04:00 - 08:00,,,,,
1805-67,5.13 08:00 - 12:00,,,,,
1805-68,5.13 12:00 - 16:00,,,,,
1805-69,5.13 16:00 - 20:00,,,,,
1805-70,5.13 20:00 - 00:00,,,,,
1805-71,5.14 00:00 - 04:00,,,,,
1805-72,5.14 04:00 - 08:00,,,,,
1805-73,5.14 08:00 - 12:00,,,,,
1805-74,5.14 12:00 - 16:00,,,,,
1805-75,5.23 00:00 - 08:00,,,,,
1805-76,5.23 08:00 - 12:00,,,,,
1805-77,5.23 12:00 - 16:00,,,,,
